銘柄コード,銘柄名称,銘柄略称
4026,神島化学工業,神島化学工業
4027,テイカ,テイカ
4028,石原産業,石原産
4031,片倉コープアグリ,片倉コープアグリ
4040,南海化学,南海化学
4041,日本曹達,日曹達
4042,東ソー,東ソー
4043,トクヤマ,トクヤマ
4044,セントラル硝子,セ硝子
4045,東亞合成,東亜合
4046,大阪ソーダ,大阪ソーダ
4047,関東電化工業,関電化
4051,ＧＭＯフィナンシャルゲート,ＧＭＯ－ＦＧ
4052,フィーチャ,Ｇ－フィーチャ
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,サンアスタリスク
4054,日本情報クリエイト,Ｇ－日本情報Ｃ
4055,ティアンドエスグループ,Ｇ－ティアンドエスＧ
4056,ニューラルグループ,Ｇ－ニューラル
4057,インターファクトリー,Ｇ－インタファクトリ
4058,トヨクモ,Ｇ－トヨクモ
4059,まぐまぐ,まぐまぐ
4060,ｒａｋｕｍｏ,Ｇ－ｒａｋｕｍｏ
4061,デンカ,デンカ
4062,イビデン,イビデン
4063,信越化学工業,信越化
4064,日本カーバイド工業,カーバイド
4068,ベイシス,Ｇ－ベイシス
4069,ＢｌｕｅＭｅｍｅ,Ｇ－ＢｌｕｅＭｅｍｅ
4071,プラスアルファ・コンサルティング,プラスアルファ
4072,電算システムホールディングス,電算システムＨＤ
4073,ジィ・シィ企画,Ｇ－ジィ・シィ企画
4074,ラキール,Ｇ－ラキール
4075,ブレインズテクノロジー,Ｇ－ブレインズ
4076,シイエヌエス,Ｇ－シイエヌエス
4078,堺化学工業,堺化学
4080,田中化学研究所,田中化研
4082,第一稀元素化学工業,稀元素
4088,エア・ウォーター,エア・ウォーター
4091,日本酸素ホールディングス,日本酸素ＨＤ
4092,日本化学工業,日本化
4093,東邦アセチレン,東邦アセチレン
4094,日本化学産業,日化学産
4095,日本パーカライジング,日パーカライ
4097,高圧ガス工業,高圧ガス
4098,チタン工業,チタン工
4099,四国化成ホールディングス,四国化成ＨＤ
4100,戸田工業,戸田工
4102,丸尾カルシウム,丸尾カルシウム
4107,伊勢化学工業,伊勢化
4109,ステラ　ケミファ,ステラケミファ
4112,保土谷化学工業,保土谷化
4113,田岡化学工業,田岡化学工業
4114,日本触媒,日触媒
4116,大日精化工業,大日精化
4118,カネカ,カネカ
4119,日本ピグメントホールディングス,日本ピグメントＨＤ
4120,スガイ化学工業,スガイ化学工業
4124,大阪油化工業,大阪油化工業
4125,三和油化工業,三和油化工業
4151,協和キリン,協和キリン
4165,プレイド,Ｇ－プレイド
4166,かっこ,Ｇ－かっこ
4167,ココペリ,Ｇ－ココペリ
4168,ヤプリ,Ｇ－ヤプリ
4169,ＥＮＥＣＨＡＮＧＥ,Ｇ－エネチェンジ
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,Ｇ－ＫａｉｚｅｎＰＦ
4171,グローバルインフォメーション,グローバルＩ
